City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Ugoofaaru,MV,2020-07-12 23:31:08,5.67,73.0,83.03,70,22,3.29
240,Bizhbulyak,RU,2020-07-12 23:31:08,53.7,54.26,64.26,88,40,7.52
241,Arlit,NE,2020-07-12 23:31:08,18.74,7.39,93.6,15,0,12.21
242,Constitucion,CL,2020-07-12 23:31:08,-35.33,-72.42,52.86,84,100,6.26
243,Matara,LK,2020-07-12 23:31:08,5.95,80.54,78.8,88,94,8.14
244,Portland,US,2020-07-12 23:27:40,45.52,-122.68,77.0,47,40,5.82
245,Salur,IN,2020-07-12 23:31:08,18.53,83.22,81.37,78,100,1.72
246,Hendrina,ZA,2020-07-12 23:31:08,-26.16,29.72,37.99,67,0,1.99
247,Bosaso,SO,2020-07-12 23:31:08,11.28,49.18,92.39,39,41,23.33
248,Cathedral City,US,2020-07-12 23:28:49,33.78,-116.47,120.2,9,1,13.87
249,Batasan,PH,2020-07-12 23:31:09,12.77,120.78,82.92,76,100,3.36
250,Pakxan,LA,2020-07-12 23:31:09,18.38,103.66,76.48,90,89,2.77
251,Cherskiy,RU,2020-07-12 23:31:09,68.75,161.3,54.52,89,100,2.82
252,Provideniya,RU,2020-07-12 23:31:09,64.38,-173.3,48.2,81,40,15.66
253,Nouadhibou,MR,2020-07-12 23:31:09,20.93,-17.03,71.6,83,0,10.29
254,Padang,ID,2020-07-12 23:31:09,-0.95,100.35,77.23,80,67,4.7
255,Brokopondo,SR,2020-07-12 23:31:09,4.75,-55.17,78.62,84,100,8.55
256,Hanzhong,CN,2020-07-12 23:31:09,33.07,107.03,71.15,81,51,1.59
257,Bredasdorp,ZA,2020-07-12 23:31:09,-34.53,20.04,57.2,44,0,12.75
258,Lingyuan,CN,2020-07-12 23:31:09,41.24,119.4,69.94,73,100,2.06
259,Yulara,AU,2020-07-12 23:31:10,-25.24,130.99,41.0,61,0,8.05
260,Mackay,AU,2020-07-12 23:31:10,-21.15,149.2,68.0,45,90,9.17
261,Privolnaya,RU,2020-07-12 23:31:10,46.14,38.7,70.52,71,68,8.14
262,Ati,TD,2020-07-12 23:31:10,13.22,18.34,85.78,55,14,12.06
263,Chuguyevka,RU,2020-07-12 23:31:10,44.17,133.86,72.05,75,86,1.34
264,Mana,GF,2020-07-12 23:31:10,5.66,-53.78,78.04,87,42,9.26
265,Rajgarh,IN,2020-07-12 23:31:10,28.63,75.38,90.16,58,26,12.5
266,Kruisfontein,ZA,2020-07-12 23:26:16,-34.0,24.73,60.51,30,0,19.82
267,Chumikan,RU,2020-07-12 23:30:56,54.72,135.31,57.58,77,55,5.06
268,Sandwick,GB,2020-07-12 23:31:10,60.0,-1.25,53.6,81,99,10.29
269,Tessalit,ML,2020-07-12 23:31:11,20.2,1.01,91.63,28,29,8.7
270,Esperance,AU,2020-07-12 23:31:11,-33.87,121.9,46.4,65,2,19.46
271,Ciudad Bolivar,VE,2020-07-12 23:31:11,8.12,-63.55,80.11,77,46,8.43
272,Smiths Falls,CA,2020-07-12 23:29:46,44.9,-76.02,79.0,74,55,3.78
273,Cacu,BR,2020-07-12 23:31:11,-18.56,-51.13,73.45,48,100,2.93
274,Saint-Francois,FR,2020-07-12 23:31:11,46.42,3.91,55.99,71,37,2.24
275,Longyearbyen,SJ,2020-07-12 23:31:11,78.22,15.64,44.89,77,86,1.39
276,Izmir,TR,2020-07-12 23:31:11,38.46,27.09,78.8,44,0,18.34
277,Sao Felix Do Xingu,BR,2020-07-12 23:31:11,-6.64,-51.99,80.2,56,58,2.19
278,Cabedelo,BR,2020-07-12 23:31:12,-6.98,-34.83,73.4,88,20,4.7
279,Tuatapere,NZ,2020-07-12 23:31:12,-46.13,167.68,45.36,69,59,4.14
280,Turukhansk,RU,2020-07-12 23:31:12,65.82,87.98,60.44,75,67,7.29
281,Ossora,RU,2020-07-12 23:31:12,59.24,163.07,55.62,85,100,9.42
282,East London,ZA,2020-07-12 23:31:12,-33.02,27.91,58.8,43,0,15.03
283,Maputo,MZ,2020-07-12 23:30:23,-25.97,32.59,55.0,87,0,2.24
284,Kautokeino,NO,2020-07-12 23:31:12,69.01,23.04,46.11,84,89,4.36
285,Riyadh,SA,2020-07-12 23:30:16,24.69,46.72,93.2,17,22,4.7
286,Panguna,PG,2020-07-12 23:31:12,-6.32,155.48,72.46,97,100,3.98
287,Blackwater,AU,2020-07-12 23:31:12,-23.58,148.88,61.27,41,23,10.58
288,Ust-Ilimsk,RU,2020-07-12 23:31:13,58.0,102.66,65.86,55,0,2.57
289,Beyneu,KZ,2020-07-12 23:31:13,45.32,55.2,82.85,29,0,15.14
290,Porto Novo,BJ,2020-07-12 23:31:13,6.5,2.6,77.0,94,20,8.05
291,Dunedin,NZ,2020-07-12 23:26:35,-45.87,170.5,46.0,62,0,8.01
292,Acarau,BR,2020-07-12 23:31:13,-2.89,-40.12,77.97,78,60,14.72
293,Kota Belud,MY,2020-07-12 23:28:56,6.35,116.43,77.0,94,20,5.82
294,Ostrovnoy,RU,2020-07-12 23:31:13,68.05,39.51,47.71,91,100,7.61
295,Susanville,US,2020-07-12 23:27:14,40.42,-120.65,93.0,7,1,13.87
296,Kodiak,US,2020-07-12 23:31:13,57.79,-152.41,57.2,67,90,13.87
297,Manturovo,RU,2020-07-12 23:31:14,58.34,44.76,57.51,81,35,4.85
298,Vila Do Maio,CV,2020-07-12 23:31:14,15.13,-23.22,78.8,78,75,11.41
299,Yenagoa,NG,2020-07-12 23:31:14,4.92,6.26,73.87,94,96,3.96
300,Montrose,US,2020-07-12 23:31:14,38.42,-108.27,91.99,18,34,5.01
