City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Snow,Rain,Weather Description
178,Comodoro Rivadavia,-45.87,-67.5,44.6,39,40,13.87,AR,2020-07-12 21:08:12,0,0.0,scattered clouds
179,Santa Cruz,-17.8,-63.17,78.8,73,40,14.99,BO,2020-07-12 21:12:33,0,0.0,scattered clouds
180,Talnakh,69.49,88.4,53.6,93,75,11.18,RU,2020-07-12 21:12:33,0,0.0,broken clouds
181,Guerrero Negro,27.98,-114.06,87.15,29,0,17.4,MX,2020-07-12 21:12:33,0,0.0,clear sky
182,Kaitangata,-46.28,169.85,39.99,77,6,5.01,NZ,2020-07-12 21:10:54,0,0.0,clear sky
183,Salalah,17.02,54.09,80.6,94,90,5.82,OM,2020-07-12 21:12:34,0,0.0,light intensity drizzle
184,Clyde River,70.47,-68.59,44.6,87,90,10.29,CA,2020-07-12 21:10:52,0,0.0,overcast clouds
185,Fukue,32.69,128.84,78.01,93,100,17.67,JP,2020-07-12 21:12:34,0,0.0,overcast clouds
186,Henties Bay,-22.12,14.28,55.0,92,0,1.99,NA,2020-07-12 21:12:34,0,0.0,clear sky
187,Juneau,58.3,-134.42,53.6,93,90,9.17,US,2020-07-12 21:09:44,0,0.51,light rain
188,Ubinskoye,55.31,79.68,55.92,95,0,7.65,RU,2020-07-12 21:12:34,0,0.0,clear sky
189,Georgetown,5.41,100.34,80.6,94,40,3.04,MY,2020-07-12 21:12:34,0,0.0,scattered clouds
190,Pailon,-17.65,-62.75,80.6,69,75,18.34,BO,2020-07-12 21:11:04,0,0.0,broken clouds
191,Carnarvon,-24.87,113.63,57.2,93,27,8.05,AU,2020-07-12 21:10:56,0,0.0,scattered clouds
192,Tuktoyaktuk,69.45,-133.04,57.2,67,40,9.17,CA,2020-07-12 21:08:25,0,0.0,scattered clouds
193,Kobyzhcha,50.83,31.5,62.6,82,75,20.13,UA,2020-07-12 21:12:35,0,0.0,broken clouds
194,Nadym,65.53,72.52,56.25,86,100,9.73,RU,2020-07-12 21:12:35,0,0.27,light rain
195,Tam Ky,15.57,108.48,78.8,88,20,4.7,VN,2020-07-12 21:12:35,0,0.0,few clouds
196,Zaanstad,52.45,4.81,59.0,71,73,4.7,NL,2020-07-12 21:12:35,0,0.0,broken clouds
197,San Patricio,19.22,-104.7,89.6,75,40,11.41,MX,2020-07-12 21:12:35,0,0.0,scattered clouds
198,Rapar,23.57,70.63,83.52,79,94,14.47,IN,2020-07-12 21:12:35,0,0.0,overcast clouds
199,Saint-Augustin,51.23,-58.65,62.01,95,100,14.85,CA,2020-07-12 21:12:35,0,0.0,overcast clouds
200,Keffi,8.85,7.87,77.0,83,20,3.36,NG,2020-07-12 21:08:04,0,0.0,thunderstorm
201,Tual,-5.67,132.75,79.07,81,57,22.91,ID,2020-07-12 21:12:36,0,0.0,broken clouds
202,Yenagoa,4.92,6.26,74.77,93,98,3.49,NG,2020-07-12 21:12:36,0,0.0,overcast clouds
203,Wrexham,53.0,-3.0,62.01,69,8,1.01,GB,2020-07-12 21:12:36,0,0.0,clear sky
204,Sabha,27.04,14.43,88.84,18,3,15.12,LY,2020-07-12 21:12:36,0,0.0,clear sky
205,Tautira,-17.73,-149.15,80.6,74,75,12.75,PF,2020-07-12 21:12:36,0,0.0,broken clouds
206,Warri,5.52,5.75,74.82,94,83,3.11,NG,2020-07-12 21:12:36,0,0.0,broken clouds
207,Cochrane,51.18,-114.47,68.0,34,40,24.16,CA,2020-07-12 21:12:36,0,0.0,scattered clouds
208,Coquimbo,-29.95,-71.34,59.0,72,59,9.17,CL,2020-07-12 21:12:14,0,0.0,broken clouds
209,Broken Hill,-31.95,141.43,41.0,93,75,9.17,AU,2020-07-12 21:12:36,0,0.0,broken clouds
210,Macon,39.87,-88.97,84.0,77,40,5.82,US,2020-07-12 21:12:37,0,0.0,scattered clouds
211,Salta,-24.79,-65.41,68.0,34,0,12.75,AR,2020-07-12 21:12:37,0,0.0,clear sky
212,East London,-33.02,27.91,59.58,55,0,18.79,ZA,2020-07-12 21:12:37,0,0.0,clear sky
213,Alcaniz,41.05,-0.13,68.0,93,99,8.81,ES,2020-07-12 21:12:37,0,0.0,overcast clouds
214,Neepawa,50.23,-99.47,78.8,54,75,9.17,CA,2020-07-12 21:12:37,0,0.0,broken clouds
215,Airai,-8.93,125.41,55.67,94,90,4.23,TL,2020-07-12 21:12:12,0,0.0,overcast clouds
216,Padang,-0.95,100.35,76.6,80,38,4.23,ID,2020-07-12 21:12:37,0,0.23,light rain
217,Ilhabela,-23.78,-45.36,76.17,63,12,3.89,BR,2020-07-12 21:12:37,0,0.0,few clouds
218,Bokoro,12.38,17.06,85.71,55,1,4.85,TD,2020-07-12 21:12:38,0,0.0,clear sky
219,Muros,42.78,-9.06,73.0,66,0,7.0,ES,2020-07-12 21:11:29,0,0.0,clear sky
220,Touros,-5.2,-35.46,75.2,83,23,5.82,BR,2020-07-12 21:12:38,0,0.0,few clouds
221,Mao,39.89,4.27,73.4,46,53,4.7,ES,2020-07-12 21:12:38,0,0.0,broken clouds
222,Khawhai,23.37,93.12,62.51,100,100,1.43,IN,2020-07-12 21:12:38,0,0.0,overcast clouds
223,Calabozo,8.92,-67.43,83.59,78,63,2.73,VE,2020-07-12 21:12:38,0,0.73,light rain
224,Puerto Del Rosario,28.5,-13.86,73.4,83,0,17.22,ES,2020-07-12 21:11:03,0,0.0,clear sky
225,Flinders,-34.58,150.86,46.99,89,86,1.99,AU,2020-07-12 21:12:38,0,0.0,overcast clouds
226,Shiyan,32.65,110.78,67.95,90,100,1.19,CN,2020-07-12 21:12:38,0,0.0,overcast clouds
227,Haicheng,40.85,122.75,68.52,83,100,1.95,CN,2020-07-12 21:12:39,0,0.0,overcast clouds
228,Abay,49.63,72.85,57.2,93,16,4.47,KZ,2020-07-12 21:12:39,0,0.0,few clouds
229,Lompoc,34.64,-120.46,78.01,60,0,17.22,US,2020-07-12 21:12:39,0,0.0,clear sky
230,Ballarat,-37.57,143.85,46.0,95,68,8.05,AU,2020-07-12 21:12:06,0,0.0,broken clouds
231,Mount Gambier,-37.83,140.77,39.2,93,90,1.12,AU,2020-07-12 21:12:39,0,0.0,overcast clouds
232,Hermiston,45.84,-119.29,82.0,34,1,9.17,US,2020-07-12 21:12:39,0,0.0,clear sky
233,Do Gonbadan,30.36,50.8,93.2,18,0,7.65,IR,2020-07-12 21:12:39,0,0.0,clear sky
234,Gornyy,55.12,83.91,59.04,97,96,5.53,RU,2020-07-12 21:12:39,0,1.72,moderate rain
235,Huambo,-12.78,15.74,59.38,34,0,4.68,AO,2020-07-12 21:12:39,0,0.0,clear sky
236,Bakchar,57.02,82.07,55.4,97,100,5.59,RU,2020-07-12 21:12:39,0,0.0,overcast clouds
237,Atar,20.52,-13.05,95.58,31,10,4.74,MR,2020-07-12 21:11:19,0,0.0,clear sky
238,Hetauda,27.43,85.03,71.6,94,75,3.04,NP,2020-07-12 21:10:17,0,0.0,light rain
239,Vuktyl,63.86,57.31,57.11,72,62,11.03,RU,2020-07-12 21:12:40,0,0.0,broken clouds
240,Tahta,26.77,31.5,82.02,22,0,7.23,EG,2020-07-12 21:12:40,0,0.0,clear sky
241,Falam,22.92,93.68,61.88,100,100,3.02,MM,2020-07-12 21:12:40,0,0.0,overcast clouds
242,Ikalamavony,-21.15,46.58,60.15,78,45,3.31,MG,2020-07-12 21:12:40,0,0.0,scattered clouds
243,Lazaro Cardenas,17.96,-102.2,86.23,68,96,9.98,MX,2020-07-12 21:12:40,0,0.11,light rain
244,Waipawa,-41.41,175.52,48.0,85,95,1.99,NZ,2020-07-12 21:12:40,0,0.0,overcast clouds
